[2026-04-04 10:56:03][INFO] 日志记录器初始化完成 | log_dir=./logs
[2026-04-04 10:56:03][INFO] 文本日志: ./logs\training_20260404_105603.log
[2026-04-04 10:56:03][INFO] JSON 日志: ./logs\training_20260404_105603.json
[2026-04-04 10:56:03][INFO] ============================================================
[2026-04-04 10:56:03][INFO] 联邦蒸馏客户端模型预训练启动
[2026-04-04 10:56:03][INFO] 数据集: CIFAR10 | 客户端数: 10
[2026-04-04 10:56:03][INFO] 预训练轮数: 100 | 设备: cuda
[2026-04-04 10:56:03][INFO] ============================================================
[2026-04-04 10:56:03][INFO] [pretrain] 待训练客户端: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
[2026-04-04 10:56:03][INFO] [pretrain] Step 1: 加载/创建数据集划分...
[2026-04-04 10:56:07][INFO] [pretrain] 数据加载完成，共 10 个客户端
[2026-04-04 10:56:07][INFO] [pretrain] Step 2: 分配客户端模型结构...
[2026-04-04 10:56:07][INFO]   Client  0 → SMALL
[2026-04-04 10:56:07][INFO]   Client  1 → LARGE
[2026-04-04 10:56:07][INFO]   Client  2 → MEDIUM
[2026-04-04 10:56:07][INFO]   Client  3 → MEDIUM
[2026-04-04 10:56:07][INFO]   Client  4 → MEDIUM
[2026-04-04 10:56:07][INFO]   Client  5 → LARGE
[2026-04-04 10:56:07][INFO]   Client  6 → SMALL
[2026-04-04 10:56:07][INFO]   Client  7 → LARGE
[2026-04-04 10:56:07][INFO]   Client  8 → SMALL
[2026-04-04 10:56:07][INFO]   Client  9 → SMALL
[2026-04-04 10:56:07][INFO] [pretrain] 模型结构分配已保存: ./teacher_ckpts\client_model_types.json
[2026-04-04 10:56:07][INFO] [pretrain] Step 3: 开始预训练（串行模式）...
[2026-04-04 10:56:07][INFO] [pretrain] ── Client 0 开始 | 模型结构: SMALL | 本地样本数: 6071 ──
[2026-04-04 10:56:08][INFO] [预训练] Client 0 开始训练，共 100 轮，设备: cuda
[2026-04-04 10:56:28][DEBUG] [Client 0] Epoch   1/100 | Loss=1.9881 | Acc=0.1252 | Best=0.1252(ep1) | LR=0.099975
[2026-04-04 10:56:48][DEBUG] [Client 0] Epoch   2/100 | Loss=0.5737 | Acc=0.1575 | Best=0.1575(ep2) | LR=0.099901
[2026-04-04 10:57:05][DEBUG] [Client 0] Epoch   3/100 | Loss=0.5074 | Acc=0.1644 | Best=0.1644(ep3) | LR=0.099778
[2026-04-04 10:57:22][DEBUG] [Client 0] Epoch   4/100 | Loss=0.4595 | Acc=0.1533 | Best=0.1644(ep3) | LR=0.099606
[2026-04-04 10:57:40][DEBUG] [Client 0] Epoch   5/100 | Loss=0.4280 | Acc=0.1607 | Best=0.1644(ep3) | LR=0.099385
[2026-04-04 10:57:57][DEBUG] [Client 0] Epoch   6/100 | Loss=0.4036 | Acc=0.1690 | Best=0.1690(ep6) | LR=0.099115
[2026-04-04 10:58:14][DEBUG] [Client 0] Epoch   7/100 | Loss=0.3804 | Acc=0.1676 | Best=0.1690(ep6) | LR=0.098797
[2026-04-04 10:58:31][DEBUG] [Client 0] Epoch   8/100 | Loss=0.3703 | Acc=0.1655 | Best=0.1690(ep6) | LR=0.098431
[2026-04-04 10:58:50][DEBUG] [Client 0] Epoch   9/100 | Loss=0.3577 | Acc=0.1727 | Best=0.1727(ep9) | LR=0.098017
[2026-04-04 10:59:07][DEBUG] [Client 0] Epoch  10/100 | Loss=0.3482 | Acc=0.1734 | Best=0.1734(ep10) | LR=0.097555
[2026-04-04 10:59:25][DEBUG] [Client 0] Epoch  11/100 | Loss=0.3396 | Acc=0.1757 | Best=0.1757(ep11) | LR=0.097047
[2026-04-04 10:59:43][DEBUG] [Client 0] Epoch  12/100 | Loss=0.3209 | Acc=0.1759 | Best=0.1759(ep12) | LR=0.096492
[2026-04-04 11:00:01][DEBUG] [Client 0] Epoch  13/100 | Loss=0.3147 | Acc=0.1683 | Best=0.1759(ep12) | LR=0.095892
[2026-04-04 11:00:21][DEBUG] [Client 0] Epoch  14/100 | Loss=0.3169 | Acc=0.1765 | Best=0.1765(ep14) | LR=0.095246
[2026-04-04 11:00:39][DEBUG] [Client 0] Epoch  15/100 | Loss=0.2986 | Acc=0.1759 | Best=0.1765(ep14) | LR=0.094556
[2026-04-04 11:00:56][DEBUG] [Client 0] Epoch  16/100 | Loss=0.2894 | Acc=0.1787 | Best=0.1787(ep16) | LR=0.093822
[2026-04-04 11:01:13][DEBUG] [Client 0] Epoch  17/100 | Loss=0.2907 | Acc=0.1775 | Best=0.1787(ep16) | LR=0.093044
[2026-04-04 11:01:31][DEBUG] [Client 0] Epoch  18/100 | Loss=0.2779 | Acc=0.1809 | Best=0.1809(ep18) | LR=0.092224
[2026-04-04 11:01:50][DEBUG] [Client 0] Epoch  19/100 | Loss=0.2725 | Acc=0.1742 | Best=0.1809(ep18) | LR=0.091363
[2026-04-04 11:02:07][DEBUG] [Client 0] Epoch  20/100 | Loss=0.2733 | Acc=0.1779 | Best=0.1809(ep18) | LR=0.090460
[2026-04-04 11:02:24][DEBUG] [Client 0] Epoch  21/100 | Loss=0.2664 | Acc=0.1638 | Best=0.1809(ep18) | LR=0.089518
